x,y
0.00017148014440433127,30.782029950083142
0.0004602888086642602,72.3793677204659
0.0008032490974729228,127.28785357737104
0.0010920577617328509,175.54076539101504
0.0013628158844765335,218.80199667221302
0.0017599277978339357,258.73544093178043
0.0022653429602888103,292.0133111480866
0.00286101083032491,320.2995008319467
0.003420577617328519,340.2662229617305
0.004106498194945848,358.5690515806988
0.004954873646209387,376.8718801996672
0.005731046931407942,386.85524126455914
0.006687725631768955,390.1830282861896
0.007536101083032492,391.84692179700494
0.006904332129963898,298.6688851913476
0.006435018050541514,227.12146422628962
0.006001805054151625,157.2379367720465
0.005442238267148014,70.71547420965055
0.004918772563176896,-2.495840266222956
0.004467509025270757,-75.70715474209658
0.003799638989169676,-158.90183028286197
0.0027707581227436814,-232.11314475873547
0.0019765342960288822,-280.3660565723794
0.0011462093862815905,-320.29950083194683
0.000496389891696751,-346.92179700499173
-0.0003158844765342962,-365.22462562396015
-0.0014711191335740068,-378.53577371048254
-0.002102888086642599,-386.85524126455914
-0.002644404332129963,-386.85524126455914
-0.0039079422382671475,-391.84692179700505
-0.0053700361010830325,-393.5108153078204
-0.006615523465703971,-393.5108153078204
-0.0075361010830324905,-395.1747088186355
-0.007120938628158845,-325.29118136439274
-0.006561371841155235,-240.432612312812
-0.006128158844765343,-167.22129783693845
-0.005568592057761733,-80.69883527454243
-0.005063176895306859,-0.8319467554076709
-0.00450361010830325,75.70715474209646
-0.003998194945848375,142.2628951747089
-0.0034386281588447655,190.51580698835267
-0.0028790613718411556,228.78535773710473
-0.0022111913357400733,267.0549084858568
-0.001633574007220217,298.6688851913476
-0.0009115523465703969,330.28286189683865
-6.317689530685889e-05,355.2412645590683
