x,y
6.332931242460788e-05,15.050167224080155
0.0004252110977080812,70.23411371237444
0.0009680337756332921,157.19063545150505
0.0015832328106151986,252.50836120401334
0.0020174909529553677,306.0200668896322
0.002705066344993968,352.84280936454843
0.0035554885404101323,374.58193979933105
0.004315440289505427,387.95986622073576
0.004984921592279855,389.63210702341144
0.004677322074788902,317.7257525083612
0.004170687575392037,239.13043478260863
0.00379071170084439,180.60200668896312
0.0033202653799758747,102.00668896321065
0.00275934861278649,21.73913043478251
0.002198431845597105,-70.23411371237461
0.0018003618817852823,-128.76254180602012
0.0012756332931242453,-175.5852842809366
0.0004975874547647769,-237.45819397993313
-0.0002985524728588672,-282.608695652174
-0.0010042219541616416,-319.3979933110369
-0.001836550060313631,-347.8260869565218
-0.0026507840772014473,-366.2207357859533
-0.0032478890229191808,-372.90969899665555
-0.004152593486127866,-387.9598662207359
-0.00500301568154403,-391.30434782608717
-0.004550663449939686,-301.0033444816055
-0.004062123039806997,-219.06354515050174
-0.003573582629674307,-147.15719063545157
-0.003103136308805791,-71.90635451505028
-0.002723160434258143,-13.377926421404766
-0.00221652593486128,60.200668896321076
-0.0017279855247285883,130.43478260869563
-0.0008232810615199032,207.35785953177253
-0.00013570566948130271,254.180602006689
