time,athermal_stress_avg,dislocation_density,dislocation_velocity_avg,gibbs_energy_avg,mean_free_path_avg,plastic_strain_yy,strain_yy,stress_yy,tau_eff_avg,temperature_avg
0,0,0,0,0,0,0,0,0,0,0
0.0001,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,6.3999998024449e-08,0.027616546324944,0.0081380401812022,400
0.00025,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,1.5999998732502e-07,0.069041362243541,0.020345099553589,400
0.000475,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,3.0399995395249e-07,0.13117857959168,0.038655686063875,400
0.0008125,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,5.1999986493883e-07,0.22438439109292,0.066121560039646,400
0.00131875,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,8.4399964397824e-07,0.36419307571548,0.10732035802025,400
0.002078125,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,1.3299991156962e-06,0.5739060290752,0.16911852580836,400
0.0032171875,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,2.0589978804454e-06,0.88847529369906,0.26181571180163,400
0.00492578125,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,3.1524950310294e-06,1.3603288183865,0.40086134296408,400
0.007488671875,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,4.7927385150084e-06,2.0681082680026,0.609429457134,400
0.0113330078125,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,7.2530986963913e-06,3.1297755580069,0.92228088009421,400
0.01709951171875,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,1.0943627618369e-05,4.7222722531494,1.3915563309066,400
0.025749267578125,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,1.6479395463873e-05,7.1109997630138,2.0954686400589,400
0.038723901367188,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,2.4782989773249e-05,10.694071562943,3.1513278500092,400
0.058185852050781,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,3.7238251956731e-05,16.068623477139,4.7351002260267,400
0.087378778076172,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,5.5920854356453e-05,24.130325833148,7.1107218032383,400
0.13116816711426,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,8.3944103506822e-05,36.222596966785,10.674070951314,400
0.19685225067139,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,0.00012597750479009,54.360368295771,16.018907442273,400
0.29537837600708,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,0.00018902429395228,81.565595803863,24.035740938113,400
0.44316756401062,40.196747001131,4510000,0,1.7970645805142e-19,0.00024250207482261,0,0.00028358702476271,122.37022105928,36.06004349108,400
