x,y
61.79775280898871,0.4366197183098602
213.4831460674156,0.7042253521126757
404.494382022472,0.788732394366199
598.3146067415731,1.0140845070422548
806.1797752808988,1.0281690140845081
834.2696629213485,1.267605633802817
1005.6179775280899,1.4084507042253533
1205.0561797752807,1.6338028169014092
1401.685393258427,1.929577464788733
1505.61797752809,2.183098591549296
1601.1235955056184,2.5774647887323945
1696.629213483146,3.070422535211268
1797.7528089887644,3.7887323943661966
1904.494382022472,5.619718309859154
1991.573033707865,6.140845070422536
2058.988764044944,7.267605633802816
