x,y
272.10884353741477,0.8438818565400839
419.501133786848,1.2376933895921234
510.20408163265296,1.5189873417721524
634.9206349206344,1.701828410689171
850.3401360544216,1.912798874824192
1031.7460317460313,1.9549929676511957
2029.4784580498867,2.2644163150492265
3015.873015873016,2.7988748241912806
4002.267573696145,3.206751054852321
5000.0,3.60056258790436
5521.541950113378,3.8115330520393815
6020.408163265306,4.106891701828411
6371.8820861678,4.30379746835443
6700.6802721088425,4.50070323488045
7018.1405895691605,4.89451476793249
7358.276643990929,5.3305203938115335
7709.750566893424,5.752461322081575
8004.53514739229,6.722925457102672
8321.995464852605,8.11533052039381
8503.401360544218,9.170182841068916
